merchant_id,product_name,stock,price,photo_url,description
2,Kalalau Trail - Ha'ena State Park,1,82000,https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fstatic.onecms.io%2Fwp-content%2Fuploads%2Fsites%2F28%2F2017%2F04%2F13-kalalau-trail-hanalei-hawaii-BESTHIKE0407.jpg,"Kalalau Trail in Ha'ena State Park on the island of Kauai runs just about 11 miles along the island's north shore from Keʻe Beach to the Kalalau Valley. Visitors be warned: The trail is very difficult and dangerous. The trek takes hikers through streams and hills and provides stunning views of the crystal blue oceans surrounding the island."
3,Canyon to Rim Loop - Smith Rock State Park,6,300,https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fstatic.onecms.io%2Fwp-content%2Fuploads%2Fsites%2F28%2F2017%2F04%2F11-smith-rock-state-park-oregon-BESTHIKE0407.jpg,"Smith Rock State Park in Oregon has hikes ranging from 2 to 7 miles and easy to moderately difficult terrain. The park suggests visitors arrive early in the morning for sightings of geese and ducks on the banks of the river, and later in the afternoon to catch a glimpse of a beautiful blue heron perched on a rock in the river. If you look closely, you may even spot a cougar or two."
4,Grinnell Glacier Trail - Glacier National Park,17,4995,https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fstatic.onecms.io%2Fwp-content%2Fuploads%2Fsites%2F28%2F2017%2F04%2F7-glacier-national-park-montana-BESTHIKE0407.jpg,"Glacier National Park in Montana is the headwaters for streams that flow to the Pacific Ocean, the Gulf of Mexico, and the Hudson Bay. The park is home to 71 species of mammals, from the tiny pygmy shrew to the majestic elk, and a variety of birds and reptiles for visitors to spot along the way."
5,Peanut Butter Pretzels,80,5,https://nuts.com/images/rackcdn/ed910ae2d60f0d25bcb8-80550f96b5feb12604f4f720bfefb46d.ssl.cf1.rackcdn.com/64e7554f03633f29-ldy6WEBz-zoom.jpg,"And just when you thought it couldn’t get any better than a spoonful of peanut butter, someone thought to put a crunch salty pretzel around it! Peanut butter pretzels are SO good. They make a great trail snack because they’re crunchy, salty, and full of fat to keep you full for hours!"
1,Chewy Coconut Cashew Granola Bars,25,7,https://www.ambitiouskitchen.com/wp-content/uploads/2015/01/IMG_6832-001-725x725.jpg,"Gluten free granola bars packed with cashews, almond butter, coconut, cranberries and chia seeds. No bake, healthy and wholesome!"
2,Superfood Brownie Energy Bars,3,10,https://www.ambitiouskitchen.com/wp-content/uploads/2017/10/energybars-4-1064x1064.jpg,"No bake superfood brownie energy bars packed with pistachios, pecans, walnuts, chia seeds, coconut and dried fruit! Topped with dark chocolate and sea salt. The perfect nutritious healthy dessert."
3,Banana Bread Granola,15,4,https://minimalistbaker.com/wp-content/uploads/2014/01/Banana-Bread-Granola-with-Walnuts-and-Flax-MINIMALISTBAKER.COM-healthy-vegan-glutenfree.jpg,"Crunchy, nutty, not too sweet, super fragrant, JUST like banana bread, & loaded with healthy fats, Omega-3s & 6s, protein ,and fiber. Basically the best thing since sliced (banana) bread."
4,Sizzlin Smoked Beef Jerky,2,9,https://gbc-cdn-public-media.azureedge.net/img67866.1426x713.jpg,"Beef jerky makes a great hiking snack because it’s high in protein. It’s a really nice change of pace from some of the more sugary hiking snacks."
5,Mango Energy Bites,11,8,https://minimalistbaker.com/wp-content/uploads/2016/05/AMAZING-naturally-sweet-Dried-Mango-ENERGY-BITES-6-ingredients-fiber-and-protein-rich-SO-delicious-vegan-glutenfree-mango-recipe-healthy-minimalistbaker.jpg,"Easy, 6-ingredient mango energy bites with dates, coconut, hemp seeds, and lime zest! Perfectly sweet, tender, and so full of natural energy, you'll be able to hike a thousand miles in two tics."
1,Trail Nuggest Pro Bars,23,18,https://cdn.shopify.com/s/files/1/1515/2714/products/trailnuggets-bars-trailnuggets-pro-13736158429247_grande.jpg?v=1575725341,"We’re excited to announce Trailnuggets PRO, a new protein variation of our Trailnuggets bars. Trailnuggets PRO take the simple foundation of the GO energy bars and add plant protein to create a more snackable, more robust bar for people who need a great tasting snack with sustained energy!"
2,Plantain Chips,90,14,https://www.preciouscore.com/wp-content/uploads/2018/03/Homemade-Plantain-Chips.jpg,"These plantain chips are so crispy, plantain-y and so addictive! I think the world should be talking about the awesomeness of plantain chips! Plantains are naturally vegan, gluten-free and have a distinct taste. They are seriously yummy in every way and they are loaded with nutrients!"
3,Salomon Quest Backpacking Boot,5,225,https://content.backcountry.com/images/items/900/SAL/SAL016P/PHASHA.jpg,"Durable and comfortable hiking boots for backpacking, fully sealed Gore-Tex for dry comfort all day, cushioning offers improved stability and ride, redesigned lug design provides grip on all surfaces. Durable leather upper for long-lasting wear, removable Ortholite footbeds absorb shock."
4,Atlas Snowshoes Elektra 2-Piece Lockjaw Snowshoe Poles,1,140,https://content.backcountry.com/images/items/900/ATL/ATL000W/GRA.jpg,"Adjustable alloy shaft, lockjaw locking mechanism, comfort ergonomic grip and strap, trekking basket, steel tip to keep you secure."
5,Scarpa Mescalito Shoe,2,175,https://content.backcountry.com/images/items/900/SCR/SCR007A/TITBL.jpg,"An approach shoe for hiking into remote alpine areas. Vibram sole provides traction over sketchy sections of rock, suede upper adds bombproof durability when scrambling up scree fields, rubber toe rand resists abrasion during alpine approaches, lace to toe construction creates performance fit on long hikes."
1,Asolo Apex Shoe,6,260,https://content.backcountry.com/images/items/900/ASO/ASO003D/DONBL.jpg,"Technical approach shoe for trails and talus fields. Durable suede upper is water-resistant, vibram rubber sole offers grip on slick slabs, EVA midsole and anti-shock insert keep foot comfortable all day."
2,SmartWool Hike Light Crew Sock,30,14,https://content.backcountry.com/images/items/900/SWL/SWL0113/BLSTE.jpg,"Hiking socks for warm climates, Merino wool manages temperature and moisture. Synthetic materials increase durability. Naturally resists the buildup of odors. Definitely a sturdy sock you need to add to your sock drawer."
3,Smartwool PhD Outdoor Light Micro Sock,18,11,https://content.backcountry.com/images/items/900/SWL/SWL00N9/BOR.jpg,"A smart sock built for comfort during high-output outdoor activity. Indestructawool construction for durability and comfort. Merino wool blend offers temperature and moisture regulation. Mesh venting increases breathability. Light half cushioning provides shock absorption."
